Team_Name,FIFA_Rank,Group_Points,Group_GD,Group_GF,Group_GA,R32_GF,R32_GA,R32_PK_Win,Total_squad_Value
Argentina,1,9,7,8,1,3,2,0,807.5
Belgium,9,5,4,6,2,3,2,0,547.5
Brazil,6,7,6,7,1,2,1,0,928.2
Canada,30,4,5,8,3,1,0,0,198.65
Colombia,13,7,3,4,1,1,0,0,302.35
Egypt,29,5,2,5,3,1,1,1,116.48
England,4,7,4,6,2,2,1,0,1360
France,3,9,8,10,2,3,0,0,1520
Mexico,14,9,6,6,0,2,0,0,191.85
Morocco,7,7,3,6,3,1,1,1,447.7
Norway,31,6,1,8,7,2,1,0,589.9
Paraguay,41,4,-2,2,4,1,1,1,153.65
Portugal,5,5,5,6,1,2,1,0,1010
Spain,2,7,5,5,0,3,0,0,1220
Switzerland,19,7,4,7,3,2,0,0,332.5
United States,17,6,4,8,4,2,0,0,385.65
